POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
1.000000000000000021e-02,1.551929872944933786e-01,2.081085991692110670e-01,2.450666961476443695e-01,2.703673233339577986e-01,2.876026056990097501e-01
1.492462311557788898e-02,1.660145154625312369e-01,2.154866807072295387e-01,2.500510829734220453e-01,2.737358466088835596e-01,2.898962749786095916e-01
1.984924623115577949e-02,1.741205322625088980e-01,2.210188923680092843e-01,2.537944402813018252e-01,2.762717309020409351e-01,2.916285618086312814e-01
2.477386934673366653e-02,1.806825195736312117e-01,2.255011975859904927e-01,2.568315122855553967e-01,2.783332709911091607e-01,2.930405063488155104e-01
2.969849246231155704e-02,1.862405507373386393e-01,2.293006675686903306e-01,2.594090359894636322e-01,2.800859350515276791e-01,2.942435822391856193e-01
3.462311557788944755e-02,1.910902498493182444e-01,2.326182813223555135e-01,2.616621628904374219e-01,2.816204239435103895e-01,2.952989622202220610e-01
3.954773869346733806e-02,1.954118100733089058e-01,2.355765697946320958e-01,2.636733208420169450e-01,2.829920888966485082e-01,2.962440132090768952e-01
4.447236180904522856e-02,1.993235394880150946e-01,2.382559979860582045e-01,2.654966567389212551e-01,2.842373093571106124e-01,2.971033149130127282e-01
4.939698492462311907e-02,2.029074772679893002e-01,2.407123731546358947e-01,2.671697353682774834e-01,2.853813356856588768e-01,2.978939403106437012e-01
5.432160804020100958e-02,2.062229497830364022e-01,2.429860586971693825e-01,2.687197330330615697e-01,2.864424430557295231e-01,2.986282543815083623e-01
5.924623115577890009e-02,2.093143097822122711e-01,2.451072351014084438e-01,2.701669748200355992e-01,2.874343047307199028e-01,2.993155141063135738e-01
6.417085427135678366e-02,2.122156245618467274e-01,2.470990872843443764e-01,2.715270781027786517e-01,2.883674307265151060e-01,2.999628389163579434e-01
6.909547738693466723e-02,2.149536547095820815e-01,2.489798299861734066e-01,2.728123148969883172e-01,2.892500824872627496e-01,3.005758280045668362e-01
7.402010050251256468e-02,2.175498225485220094e-01,2.507640463585572577e-01,2.740325124080333352e-01,2.900888776900208965e-01,3.011589687000243432e-01
7.894472361809044825e-02,2.200215564975916693e-01,2.524636022547214753e-01,2.751956682321575753e-01,2.908892035287745648e-01,3.017159156484578442e-01
8.386934673366834569e-02,2.223832353062396849e-01,2.540882884584713119e-01,2.763083825637728808e-01,2.916555071427660017e-01,3.022496870834155969e-01
8.879396984924622926e-02,2.246468674659453657e-01,2.556462828332753956e-01,2.773761692591591443e-01,2.923915046929554395e-01,3.027628061755150424e-01
9.371859296482411283e-02,2.268225904637392598e-01,2.571444899533473771e-01,2.784036844680711775e-01,2.931003350695877141e-01,3.032574049874398603e-01
