POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
1.000000000000000021e-02,1.315450562181148531e-01,1.837392920385989281e-01,2.210356823696608131e-01,2.476865320249977964e-01,2.667304068087683611e-01
1.492462311557788898e-02,1.436707936414046982e-01,1.924039698307296598e-01,2.272271937491868177e-01,2.521107950019333410e-01,2.698918486101692937e-01
1.984924623115577949e-02,1.527270119581506658e-01,1.988752639871642913e-01,2.318513808650902175e-01,2.554150964238715016e-01,2.722530004436390372e-01
2.477386934673366653e-02,1.600391597804959876e-01,2.041002991860431937e-01,2.355850297864227061e-01,2.580830467317963839e-01,2.741594354072713902e-01
2.969849246231155704e-02,1.662178178311154997e-01,2.085153775707644375e-01,2.387399085616412620e-01,2.603374257527371616e-01,2.757703450910216625e-01
3.462311557788944755e-02,1.715969951508093116e-01,2.123591716951830355e-01,2.414865652328803403e-01,2.623001018549082630e-01,2.771728128702566352e-01
3.954773869346733806e-02,1.763801736024978584e-01,2.157770834195901211e-01,2.439288994827587542e-01,2.640453185454194607e-01,2.784198908641841719e-01
4.447236180904522856e-02,1.807008895086194000e-01,2.188645336793962337e-01,2.461350961672645887e-01,2.656217986183422308e-01,2.795463948779816632e-01
4.939698492462311907e-02,1.846517032479788045e-01,2.216876632651088586e-01,2.481524174543517092e-01,2.670633141605016636e-01,2.805764574027704850e-01
5.432160804020100958e-02,1.882995241671820141e-01,2.242942835311540761e-01,2.500150278625516975e-01,2.683942780826070185e-01,2.815275231512208154e-01
5.924623115577890009e-02,1.916943566005348543e-01,2.267201260318155165e-01,2.517484600579674159e-01,2.696329352399799983e-01,2.824126293339540017e-01
6.417085427135678366e-02,1.948745963082799959e-01,2.289926271925635248e-01,2.533723192636191390e-01,2.707932949200215766e-01,2.832417865554546221e-01
6.909547738693466723e-02,1.978703947427180032e-01,2.311333323108121229e-01,2.549020010842037443e-01,2.718863583467777123e-01,2.840228559509548334e-01
7.402010050251256468e-02,2.007058816714052951e-01,2.331594837738715786e-01,2.563498263976354274e-01,2.729209296394135564e-01,2.847621286723367451e-01
7.894472361809044825e-02,2.034006827580944754e-01,2.350851054754596325e-01,2.577258162456217416e-01,2.739041695251086539e-01,2.854647215542802652e-01
8.386934673366834569e-02,2.059709852169759603e-01,2.369217642993390049e-01,2.590382359663739309e-01,2.748419841595006741e-01,2.861348549533545560e-01
8.879396984924622926e-02,2.084303044242773462e-01,2.386791179163104681e-01,2.602939866334341712e-01,2.757393048367925426e-01,2.867760526202294269e-01
9.371859296482411283e-02,2.107900471342736282e-01,2.403653172409944971e-01,2.614988926388729373e-01,2.766002934878314390e-01,2.873912885422612584e-01
9.864321608040201028e-02,2.130599329906795181e-01,2.419873076308652060e-01,2.626579169208245190e-01,2.774284964750640126e-01,2.879830968406222880e-01
