a specimen 1,ahat specimen 1,a specimen 2,ahat specimen 2,a specimen 3,ahat specimen 3,a specimen 4,ahat specimen 4,a specimen 5,ahat specimen 5,a specimen 6,ahat specimen 6,a specimen 7,ahat specimen 7,a specimen 8,ahat specimen 8,a specimen 9,ahat specimen 9,a specimen 10,ahat specimen 10,a specimen 11,ahat specimen 11,a specimen 12,ahat specimen 12,a specimen 13,ahat specimen 13,a specimen 14,ahat specimen 14,a specimen 15,ahat specimen 15,a specimen 16,ahat specimen 16,a specimen 17,ahat specimen 17,a specimen 18,ahat specimen 18,a specimen 19,ahat specimen 19,a specimen 20,ahat specimen 20,a specimen 21,ahat specimen 21,a specimen 22,ahat specimen 22,a specimen 23,ahat specimen 23,a specimen 24,ahat specimen 24,a specimen 25,ahat specimen 25,a specimen 26,ahat specimen 26,a specimen 27,ahat specimen 27,a specimen 28,ahat specimen 28,a specimen 29,ahat specimen 29,a specimen 30,ahat specimen 30,a specimen 31,ahat specimen 31,a specimen 32,ahat specimen 32,a specimen 33,ahat specimen 33,a specimen 34,ahat specimen 34,a specimen 35,ahat specimen 35,a specimen 36,ahat specimen 36,a specimen 37,ahat specimen 37,a specimen 38,ahat specimen 38,a specimen 39,ahat specimen 39,a specimen 40,ahat specimen 40,a specimen 41,ahat specimen 41,a specimen 42,ahat specimen 42,a specimen 43,ahat specimen 43,a specimen 44,ahat specimen 44,a specimen 45,ahat specimen 45
8.763082893739572443e-02,7.222344452223836697e+01,1.579918792240114778e-01,4.518793083887092621e+01,1.238409231440893432e-01,5.530091776930735392e+01,1.523465177830941042e-01,3.656799483863831313e+01,1.777989511996602712e-01,6.737037836193302098e+01,1.338495870410433553e-01,5.601616895630274939e+01,1.301120463659937720e-01,5.594091943463431704e+01,8.720511333597615045e-02,4.775304984819446474e+01,1.068438980101871216e-01,4.337039791040174919e+01,1.299882500825559895e-01,9.111327590329037207e+01,1.479229996120940416e-01,7.555786889075284307e+01,1.603739036104375459e-01,6.679231658406645522e+01,1.180941133148538380e-01,5.050310179979577896e+01,8.659363469059051799e-02,3.827633635131519441e+00,1.088145599307993594e-01,4.705763283996580526e+01,1.709593527719613648e-01,9.580893062679001559e+01,1.013385353579915465e-01,2.006139554285328330e+01,1.252123961817682984e-01,7.969494543289695798e+01,1.731206019689021658e-01,6.291126359056583794e+01,8.248992275503480576e-02,5.606096370015379193e+01,1.400548917464122523e-01,6.154808371131114342e+01,1.750129500413645511e-01,7.733205055652196336e+01,1.030302879020964790e-01,4.957139012850200288e+01,1.348489919236030288e-01,4.152101164963489310e+01,1.709128374886731139e-01,5.260814434767155490e+01,9.331694457592501490e-02,6.268095248272251752e+01,1.323412580673765659e-01,5.837867174244854596e+01,1.550409859102034882e-01,3.457182906293297719e+01,1.469013240883913773e-01,4.616855926342101668e+01,1.267752859744980531e-01,3.217812116008981604e+01,1.004849090297795094e-01,3.955671654472937604e+01,1.290765889091070318e-01,6.815886171481969313e+01,1.172384689385058965e-01,4.219292650934036715e+01,1.277401154851588450e-01,4.461388481043501031e+01,1.165890385780593008e-01,7.205746377501749578e+01,1.637917994309260605e-01,2.011796061554743886e+01,1.568647506519509349e-01,6.555712696903366066e+01,1.113994677212662154e-01,9.886846574431912416e+01,1.372625332643953866e-01,3.983476031293941588e+01,1.076049048330695035e-01,7.233469387797821071e+01,1.252842932546400223e-01,5.181952462498181688e+01,1.152978365944394706e-01,5.760486969843803706e+01,1.457399462779758181e-01,6.638552603668188112e+01,1.170351082988035224e-01,5.189476176888421577e+01,1.259092977891431431e-01,4.921233419077800875e+01
1.048240701624861410e-01,7.897507124628003794e+01,1.721217975151498325e-01,2.346517233925237633e+01,1.429051558357327389e-01,6.277630611069303512e+01,1.641510339751209302e-01,4.858799531774674563e+01,1.952101399287929084e-01,8.193323220246364258e+01,1.480733274774747588e-01,7.495252927939382914e+01,1.443765820928432086e-01,8.153652309584109048e+01,1.035489120223145321e-01,4.974736762475369289e+01,1.220729600204705778e-01,4.431738815241149609e+01,1.441371098669504136e-01,8.865503811311211280e+01,1.579372684177216268e-01,7.959304417142821819e+01,1.712965270689050801e-01,6.286150059901216025e+01,1.351880572521059753e-01,6.177044324958725952e+01,1.018370906582424934e-01,1.330613182212751155e+01,1.257761645659690453e-01,3.759200454248551182e+01,1.905140360019906276e-01,1.026381695731493551e+02,1.181676739017457206e-01,3.246286962303780399e+01,1.357436830884978796e-01,1.024403841265814634e+02,1.862091288175401482e-01,6.521883207404175664e+01,9.841586962826853746e-02,7.035797515091917376e+01,1.524060958189868975e-01,4.704140580990338805e+01,1.946626600367258320e-01,7.962675236396948719e+01,1.224807701400244253e-01,6.241096025677969550e+01,1.533330007319799182e-01,4.199303095184139067e+01,1.856360774515571355e-01,7.497847128081392043e+01,1.117317117249089914e-01,5.476152253310481655e+01,1.436523644908556940e-01,5.503354623063550122e+01,1.681283224831818524e-01,4.523709029982857288e+01,1.615312880299355491e-01,4.975630023677651081e+01,1.441937579813327153e-01,5.656887693815214391e+01,1.153431613168684755e-01,5.052463720564156802e+01,1.404453500970815338e-01,7.838482260432203930e+01,1.306738342355494853e-01,3.330157787676602510e+01,1.409843771818832803e-01,3.680559130180334648e+01,1.295932276212397039e-01,6.015734694602397781e+01,1.754468134355839370e-01,4.094934649464181575e+01,1.710137683776834505e-01,4.991638368012222315e+01,1.258806742962934599e-01,1.061947604611543454e+02,1.550115370225355615e-01,4.963673618767989382e+01,1.255688118408949949e-01,7.393787366928344795e+01,1.405081945346561278e-01,5.493635396308095409e+01,1.299041395560722456e-01,4.531876860086480008e+01,1.635220822934147777e-01,6.581817949176733862e+01,1.359079978173308723e-01,6.169254939991586895e+01,1.426584854878110153e-01,6.244083006188534313e+01
1.220173113875765575e-01,7.749570383376550353e+01,1.862517158062881595e-01,2.607783555928841679e+01,1.619693885273761347e-01,7.239628074785132128e+01,1.759555501671477284e-01,6.510925303978061152e+01,2.126213286579255457e-01,1.064527922269414404e+02,1.622970679139061623e-01,7.932711972689423874e+01,1.586411178196926175e-01,6.775597815882666453e+01,1.198927107086529276e-01,4.688054837678009079e+01,1.373020220307540340e-01,5.292995913257665563e+01,1.582859696513448378e-01,7.923009247902223251e+01,1.679515372233492121e-01,6.754426503919057723e+01,1.822191505273725864e-01,6.314094949792866629e+01,1.522820011893580849e-01,6.484501342923502420e+01,1.170805466258944549e-01,2.378852804353515182e+01,1.427377692011387311e-01,3.698098827953455725e+01,2.100687192320198904e-01,9.021440057798525913e+01,1.349968124454998808e-01,4.060026466910163379e+01,1.462749699952274607e-01,1.091546745640339964e+02,1.992976556661781029e-01,7.565105218806061771e+01,1.143418165015022692e-01,7.861512491104198830e+01,1.647572998915615428e-01,5.759834396939127998e+01,2.143123700320870850e-01,8.642237504566010386e+01,1.419312523779523438e-01,6.276829014824404851e+01,1.718170095403568076e-01,4.481636857264414431e+01,2.003593174144411571e-01,8.829137757818307364e+01,1.301464788738929679e-01,4.609696267436985551e+01,1.549634709143348499e-01,6.492932429427344232e+01,1.812156590561601888e-01,5.270848939976241354e+01,1.761612519714797209e-01,5.277673536908648799e+01,1.616122299881673774e-01,5.309276219314246958e+01,1.302014136039574277e-01,5.335872121834359660e+01,1.518141112850560637e-01,8.320358128488256000e+01,1.441091995325930741e-01,3.519610038060798729e+01,1.542286388786077156e-01,5.329929747407452822e+01,1.425974166644201069e-01,6.466810245830760095e+01,1.871018274402418136e-01,4.712945691818367777e+01,1.851627861034159661e-01,5.101582628353241944e+01,1.403618808713206767e-01,8.188060877021658257e+01,1.727605407806757365e-01,5.043190140195525828e+01,1.435327188487204864e-01,7.094159025737486957e+01,1.557320958146722611e-01,5.442096059578957323e+01,1.445104425177050067e-01,3.510734341872361597e+01,1.813042183088537374e-01,7.787971747475630480e+01,1.547808873358582082e-01,4.770988776641068796e+01,1.594076731864789154e-01,6.216305379581411472e+01
1.392105526126669601e-01,7.881830290940813200e+01,2.003816340974265142e-01,3.712589934103299072e+01,1.810336212190195027e-01,8.290698063386489025e+01,1.877600663591745545e-01,6.596947324236491284e+01,2.300325173870582107e-01,1.153730826838544914e+02,1.765208083503375658e-01,8.292034234089226175e+01,1.729056535465420263e-01,5.992108229960982158e+01,1.362365093949913231e-01,5.860236554230070283e+01,1.525310840410374902e-01,6.282133803667774430e+01,1.724348294357392897e-01,8.872286207312873785e+01,1.779658060289767973e-01,5.129590455782305014e+01,1.931417739858400928e-01,6.294863297577288108e+01,1.693759451266102223e-01,6.862452212272131646e+01,1.323240025935464304e-01,4.558195604830537917e+01,1.596993738363084447e-01,5.613256189007672248e+01,2.296234024620491532e-01,7.366668012711443225e+01,1.518259509892540549e-01,4.344571397632490317e+01,1.568062569019570418e-01,1.079571065983937075e+02,2.123861825148160853e-01,8.107044280211850662e+01,1.302677633747360009e-01,7.128637742591936899e+01,1.771085039641361880e-01,7.365531180997946592e+01,2.339620800274483381e-01,9.079125724224388705e+01,1.613817346158802901e-01,6.817074800681817237e+01,1.903010183487336970e-01,6.869649562845762603e+01,2.150825573773251786e-01,9.690906396314521487e+01,1.485612460228769305e-01,4.367564063606548075e+01,1.662745773378139780e-01,6.208031313874178636e+01,1.943029956291385529e-01,4.565830218487960224e+01,1.907912159130238927e-01,3.419064606643811999e+01,1.790307019950020673e-01,6.343444574543419634e+01,1.450596658910464076e-01,3.306480171435979543e+01,1.631828724730305658e-01,9.266115616824941981e+01,1.575445648296366352e-01,4.748424811023673442e+01,1.674729005753321509e-01,5.633658522442228644e+01,1.556016057076005099e-01,7.146474372529522157e+01,1.987568414448996901e-01,6.163180705583489072e+01,1.993118038291484817e-01,3.926243082931243578e+01,1.548430874463479212e-01,8.104153427202064108e+01,1.905095445388159114e-01,6.454923640362493131e+01,1.614966258565459500e-01,6.118548686906479617e+01,1.709559970946883944e-01,5.691264328607534395e+01,1.591167454793377678e-01,3.916425716996623407e+01,1.990863543242927247e-01,9.521703720685783878e+01,1.736537768543855720e-01,5.481700554309946938e+01,1.761568608851467876e-01,7.061518790858166028e+01
1.564037938377573767e-01,7.509770665465394757e+01,2.145115523885648690e-01,4.044522271317737960e+01,2.000978539106628984e-01,9.217616085619113164e+01,1.995645825512013527e-01,7.643967831666101631e+01,2.474437061161908480e-01,1.008351465937157343e+02,1.907445487867689693e-01,9.660165792735341483e+01,1.871701892733914629e-01,6.050359819190731514e+01,1.525803080813297186e-01,5.216810524892581213e+01,1.677601460513209464e-01,6.682013499899829867e+01,1.865836892201337138e-01,9.374366261133518208e+01,1.879800748346043826e-01,5.598739804113991170e+01,2.040643974443076269e-01,7.633151505019050376e+01,1.864698890638623596e-01,7.304004822947138109e+01,1.475674585611984058e-01,5.015115478822232120e+01,1.766609784714781028e-01,7.147710484422840693e+01,2.491780856920783882e-01,5.267848476174000893e+01,1.686550895330082289e-01,6.427223545931079229e+01,1.673375438086865952e-01,1.130191659539167972e+02,2.254747093634540400e-01,1.076613004827070199e+02,1.461937102479697326e-01,7.924116527733178827e+01,1.894597080367108333e-01,7.035852989311979400e+01,2.536117900228096467e-01,8.663662801966283666e+01,1.808322168538082364e-01,7.127352766105870785e+01,2.087850271571105865e-01,7.869254698873484699e+01,2.298057973402092002e-01,1.238594123557611368e+02,1.669760131718608931e-01,5.457465662332857903e+01,1.775856837612931338e-01,6.885465941160337877e+01,2.073903322021168893e-01,4.225924899195075568e+01,2.054211798545680645e-01,4.504473026292304638e+01,1.964491740018367294e-01,7.822296248059245727e+01,1.599179181781353876e-01,4.974761163305322498e+01,1.745516336610050678e-01,8.065248928860447108e+01,1.709799301266802241e-01,5.357194257528982462e+01,1.807171622720565585e-01,6.435793422762941418e+01,1.686057947507808852e-01,7.584751822075561734e+01,2.104118554495575666e-01,8.313427407314509310e+01,2.134608215548809973e-01,6.414638629325024510e+01,1.693242940213751657e-01,8.249115406334297518e+01,2.082585482969560586e-01,8.022915552927315730e+01,1.794605328643714415e-01,7.132161881551219551e+01,1.861798983747045000e-01,6.247171248704921709e+01,1.737230484409705289e-01,4.963423330513502663e+01,2.168684903397316843e-01,9.377437797213126203e+01,1.925266663729129357e-01,5.075230172920763039e+01,1.929060485838146599e-01,6.919572129513328207e+01
1.735970350628477932e-01,7.848710367783085928e+01,2.286414706797031959e-01,4.606890979568422750e+01,2.191620866023062941e-01,9.550281853332739956e+01,2.113690987432281787e-01,8.307279345327023634e+01,2.648548948453234853e-01,1.107664340409025243e+02,2.049682892232003728e-01,9.287194900584664481e+01,2.014347250002408996e-01,9.147867695750198891e+01,1.689241067676681141e-01,5.239158840183691268e+01,1.829892080616044026e-01,7.160302257033869466e+01,2.007325490045281380e-01,9.277430644946947780e+01,1.979943436402319401e-01,5.683704400339866680e+01,2.149870209027751611e-01,6.927303495831863245e+01,2.035638330011144692e-01,6.679495143736643570e+01,1.628109145288503812e-01,5.531978603255261362e+01,1.936225831066478165e-01,8.020351628787283005e+01,2.687327689221076787e-01,5.486376480717940751e+01,1.854842280767624030e-01,7.577959156297096399e+01,1.778688307154161763e-01,1.256358454469677213e+02,2.385632362120920225e-01,1.103007797535878467e+02,1.621196571212034643e-01,7.699089773277690085e+01,2.018109121092854785e-01,7.862294051721615062e+01,2.732615000181708997e-01,9.161457689333028043e+01,2.002826990917361827e-01,9.146864516102380094e+01,2.272690359654874759e-01,5.865035321266403656e+01,2.445290373030932218e-01,1.315620338717668574e+02,1.853907803208448835e-01,6.887680826145978585e+01,1.888967901847722619e-01,7.095133842428593596e+01,2.204776687750952535e-01,3.797481198083416132e+01,2.200511437961122363e-01,4.497570039853901847e+01,2.138676460086713915e-01,9.963206038254429586e+01,1.747761704652243397e-01,5.854739241880420053e+01,1.859203948489795699e-01,8.459408476219844886e+01,1.844152954237238129e-01,5.884039834288050486e+01,1.939614239687809938e-01,7.370620588603705414e+01,1.816099837939612882e-01,9.906795057085300016e+01,2.220668694542154431e-01,6.733118356302959739e+01,2.276098392806135129e-01,8.021283447947517686e+01,1.838055005964023825e-01,9.825845325921314100e+01,2.260075520550962613e-01,7.660427663206591831e+01,1.974244398721969329e-01,7.951057456371917453e+01,2.014037996547206055e-01,6.458552504461650301e+01,1.883293514026033177e-01,5.793901029502278277e+01,2.346506263551706439e-01,1.089015381476627056e+02,2.113995558914402717e-01,5.237955986576864831e+01,2.096552362824825322e-01,7.885980629066013137e+01
1.907902762879382097e-01,8.125550581243666670e+01,2.427713889708415507e-01,5.185809348909496919e+01,2.382263192939496621e-01,8.738531946539021078e+01,2.231736149352550047e-01,1.032700716079268375e+02,2.822660835744561503e-01,8.674270363697769426e+01,2.191920296596317763e-01,9.165267815742606672e+01,2.156992607270903084e-01,1.016827076584481091e+02,1.852679054540064818e-01,5.487908909458548123e+01,1.982182700718878310e-01,8.153729677211138949e+01,2.148814087889225899e-01,9.243653640128550819e+01,2.080086124458595254e-01,6.086354924449793202e+01,2.259096443612426675e-01,9.678647241896902642e+01,2.206577769383666066e-01,8.358832588793256946e+01,1.780543704965023566e-01,6.379903619435655315e+01,2.105841877418175023e-01,9.694830094169739709e+01,2.882874521521369138e-01,7.210620322434340324e+01,2.023133666205165770e-01,8.494857265435524596e+01,1.884001176221457574e-01,1.174113097549513896e+02,2.516517630607300049e-01,1.265393923339447042e+02,1.780456039944371960e-01,7.997163145238467052e+01,2.141621161818600960e-01,7.996605475003634922e+01,2.929112100135321528e-01,8.444582280956689146e+01,2.197331813296641290e-01,9.843516247969597543e+01,2.457530447738643653e-01,7.048987969282977417e+01,2.592522772659772712e-01,1.249819267313228295e+02,2.038055474698288461e-01,5.789367237102150909e+01,2.002078966082513900e-01,8.438978472336263792e+01,2.335650053480736177e-01,3.978456858999131640e+01,2.346811077376564081e-01,4.414482516715204241e+01,2.312861180155060814e-01,1.186346428684189931e+02,1.896344227523132919e-01,6.146412136348554611e+01,1.972891560369540720e-01,7.879239506971387641e+01,1.978506607207674017e-01,5.428857853241946430e+01,2.072056856655054291e-01,8.338005085692461194e+01,1.946141728371416912e-01,8.047988856758827581e+01,2.337218834588732919e-01,7.433164219345940182e+01,2.417588570063460562e-01,9.740018129122502444e+01,1.982867071714296270e-01,9.503159485454627031e+01,2.437565558132364085e-01,7.348776243874812053e+01,2.153883468800223966e-01,8.346584472050092529e+01,2.166277009347367388e-01,7.766845274229416418e+01,2.029356543642360788e-01,6.087026740593861973e+01,2.524327623706096313e-01,8.662623905019307813e+01,2.302724454099676077e-01,5.144992518181538799e+01,2.264044239811504045e-01,8.255617607930425095e+01
2.079835175130286262e-01,7.765912514861437899e+01,2.569013072619799054e-01,5.172697469460943864e+01,2.572905519855930301e-01,9.598475895414904357e+01,2.349781311272818307e-01,1.082702653829409059e+02,2.996772723035887598e-01,8.625859166698982960e+01,2.334157700960631798e-01,9.055201432317043952e+01,2.299637964539397172e-01,8.031502260265600057e+01,2.016117041403448495e-01,7.262095550936506072e+01,2.134473320821712872e-01,9.639994731121832672e+01,2.290302685733170140e-01,8.190065627926873049e+01,2.180228812514871106e-01,6.854897148362211112e+01,2.368322678197101738e-01,1.121644354577811242e+02,2.377517208756187439e-01,7.228476879370751362e+01,1.932978264641543320e-01,4.512864714189564097e+01,2.275457923769871882e-01,9.961558265830790049e+01,3.078421353821662043e-01,6.315976393362775099e+01,2.191425051642707511e-01,9.889115978996365186e+01,1.989314045288753108e-01,1.248449919606967455e+02,2.647402899093679873e-01,1.007570143664479048e+02,1.939715508676709277e-01,9.352602569570734659e+01,2.265133202544347690e-01,7.475722791079047624e+01,3.125609200088934614e-01,8.352277928865815682e+01,2.391836635675920475e-01,9.819434966248766727e+01,2.642370535822412547e-01,8.216239463524850350e+01,2.739755172288612650e-01,1.185318907148827492e+02,2.222203146188128364e-01,7.531270732867254480e+01,2.115190030317305458e-01,7.750999732891993688e+01,2.466523419210519541e-01,3.191539626545311137e+01,2.493110716792005799e-01,4.089175760792319636e+01,2.487045900223407435e-01,1.150972852620567437e+02,2.044926750394022719e-01,6.557069913033892306e+01,2.086579172249286018e-01,7.514097533530258488e+01,2.112860260178109906e-01,4.922312041128319038e+01,2.204499473622298367e-01,8.924838173750268311e+01,2.076183618803220665e-01,8.424145597348844205e+01,2.453768974635311961e-01,7.589465417078679366e+01,2.559078747320785441e-01,9.622435772607832405e+01,2.127679137464568715e-01,1.031304370007440667e+02,2.615055595713765557e-01,8.422559441137774172e+01,2.333522538878478880e-01,8.166674692855511353e+01,2.318516022147528721e-01,8.513752237513904220e+01,2.175419573258688399e-01,5.947866476772388467e+01,2.702148983860486187e-01,8.655864280665576871e+01,2.491453349284949992e-01,6.674451004524206610e+01,2.431536116798183045e-01,9.969860319729214382e+01
2.251767587381190427e-01,7.095672473308690087e+01,2.710312255531182601e-01,6.405273043557460255e+01,2.763547846772364536e-01,1.116711703529089164e+02,2.467826473193086290e-01,1.089208047303648925e+02,3.170884610327214248e-01,1.112646880244475085e+02,2.476395105324945833e-01,1.165522786150771424e+02,2.442283321807891538e-01,9.838545517115275629e+01,2.179555028266832450e-01,7.955605852437071235e+01,2.286763940924547434e-01,8.607703818635452819e+01,2.431791283577114382e-01,7.570695453503897454e+01,2.280371500571146959e-01,6.498462442651945992e+01,2.477548912781777080e-01,1.190731592484593335e+02,2.548456648128708535e-01,5.960944550499355898e+01,2.085412824318063074e-01,5.870261800876389202e+01,2.445073970121568740e-01,8.515447329467804138e+01,3.273968186121954393e-01,5.880872294932983380e+01,2.359716437080249252e-01,9.750249370148320338e+01,2.094626914356049197e-01,1.207612955373612209e+02,2.778288167580059698e-01,1.060733769162253282e+02,2.098974977409046594e-01,9.362809210661436055e+01,2.388645243270093865e-01,6.166156916531446086e+01,3.322106300042546589e-01,8.659199420901134658e+01,2.586341458055200215e-01,8.887201509634449792e+01,2.827210623906181164e-01,9.478893986866428634e+01,2.886987571917453144e-01,1.246637097646041497e+02,2.406350817677967990e-01,7.717988505076959882e+01,2.228301094552096739e-01,6.378236789262160755e+01,2.597396784940303460e-01,3.653217719382953277e+01,2.639410356207447794e-01,4.944114270250686616e+01,2.661230620291754057e-01,1.052911900073400489e+02,2.193509273264912518e-01,6.901186199976601188e+01,2.200266784129031039e-01,8.593132761828309185e+01,2.247213913148545794e-01,4.590577812898112597e+01,2.336942090589542720e-01,9.036950099582168150e+01,2.206225509235024695e-01,8.585166883023757123e+01,2.570319114681890449e-01,8.631642788055013682e+01,2.700568924578110597e-01,1.029526652249029155e+02,2.272491203214840882e-01,1.105490661632420597e+02,2.792545633295167584e-01,8.351913598969548502e+01,2.513161608956733795e-01,8.193853523750409806e+01,2.470755034947689777e-01,9.847674796465163638e+01,2.321482602875016288e-01,6.044370338752981553e+01,2.879970344014875505e-01,1.064391178771180790e+02,2.680182244470223352e-01,7.675191322608006317e+01,2.599027993784861490e-01,1.133392304727465927e+02
2.423699999632094593e-01,7.753036071649057703e+01,2.851611438442566149e-01,7.170461484976883071e+01,2.954190173688798771e-01,1.216300649960116402e+02,2.585871635113354272e-01,1.013988809378507057e+02,3.344996497618540898e-01,1.113347980033419020e+02,2.618632509689259869e-01,1.121891258915793514e+02,2.584928679076385905e-01,1.052563227141258722e+02,2.342993015130216405e-01,9.476928725554718369e+01,2.439054561027381995e-01,8.861708157019734244e+01,2.573279881421058901e-01,6.212075318614388664e+01,2.380514188627422811e-01,8.346879848651883549e+01,2.586775147366452421e-01,1.206479453829431350e+02,2.719396087501230186e-01,7.316602214285525463e+01,2.237847383994582828e-01,5.767766822318251485e+01,2.614690016473265599e-01,9.179907964220836902e+01,3.469515018422246744e-01,6.332990047222843799e+01,2.528007822517790992e-01,7.301941764372141108e+01,2.199939783423344730e-01,1.114637869225845463e+02,2.909173436066438967e-01,1.097779740990143864e+02,2.258234446141383911e-01,9.175726825094625383e+01,2.512157283995840595e-01,7.854700353225373988e+01,3.518603399996159675e-01,9.397329679777119793e+01,2.780846280434479123e-01,9.298013179229036496e+01,3.012050711989950336e-01,9.477179013570597021e+01,3.034219971546293637e-01,1.034839615908044550e+02,2.590498489167807339e-01,9.061516964949045416e+01,2.341412158786888020e-01,7.422441742620458172e+01,2.728270150670086824e-01,5.542928156679272433e+01,2.785709995622889235e-01,5.401628324940307380e+01,2.835415340360100678e-01,9.378777212968898880e+01,2.342091796135802317e-01,6.066291684525963035e+01,2.313954396008776060e-01,9.262696237967622892e+01,2.381567566118981683e-01,5.624580107939113560e+01,2.469384707556787073e-01,6.106971891769006788e+01,2.336267399666828726e-01,7.935323626045524747e+01,2.686869254728469492e-01,7.687860222736732396e+01,2.842059101835435753e-01,1.100026178577090263e+02,2.417303268965113328e-01,9.935505433423321620e+01,2.970035670876569611e-01,1.012940137320720027e+02,2.692800679034988987e-01,7.936118652707813226e+01,2.622994047747850832e-01,9.586214719960742059e+01,2.467545632491343621e-01,6.183245779243684126e+01,3.057791704169264824e-01,9.287144847801114622e+01,2.868911139655496711e-01,8.933608353249621814e+01,2.766519870771540490e-01,9.245565814286013051e+01
