a,ahat,POD
1.000000000000000056e-01,7.682830247852658445e+00,1.002901375279918739e-07
1.030303030303030415e-01,6.951767112013278904e+00,2.321742870181608964e-07
1.060606060606060635e-01,8.101785868999025197e+00,5.246101708600292568e-07
1.090909090909090995e-01,8.291611557107454900e+00,1.157031007892328489e-06
1.121212121212121215e-01,6.632409189838000430e+00,2.490918406428122012e-06
1.151515151515151575e-01,7.097480174670487862e+00,5.234827382016860042e-06
1.181818181818181934e-01,8.031249696445826203e+00,1.073983344679341201e-05
1.212121212121212155e-01,7.840557474896882262e+00,2.151151516294191879e-05
1.242424242424242514e-01,8.095979911558032427e+00,4.206790611849253736e-05
1.272727272727272874e-01,7.669991825274033559e+00,8.032816522840491302e-05
1.303030303030303094e-01,8.785214542493454459e+00,1.497804697560001230e-04
1.333333333333333592e-01,8.800008494590702668e+00,2.727402741727891211e-04
1.363636363636363813e-01,8.448709327627639709e+00,4.850536946865435795e-04
1.393939393939394034e-01,9.161193209029304896e+00,8.425977334982626132e-04
1.424242424242424532e-01,8.841111665957289034e+00,1.429842934139391453e-03
1.454545454545454752e-01,8.120788158633693854e+00,2.370534561021209186e-03
1.484848484848484973e-01,8.933371682570712125e+00,3.840181365748818187e-03
1.515151515151515194e-01,8.212549227381389372e+00,6.079503589882628845e-03
1.545454545454545414e-01,9.390706544420726942e+00,9.407310725004891516e-03
1.575757575757575912e-01,8.909438392802186968e+00,1.423053739117829952e-02
1.606060606060606133e-01,8.904234097024358974e+00,2.104850888819442822e-02
1.636363636363636354e-01,8.682351364266725824e+00,3.044813753468700313e-02
1.666666666666666852e-01,9.900191469871085559e+00,4.308689077260074995e-02
1.696969696969697072e-01,9.149706553182960889e+00,5.966121436192584060e-02
1.727272727272727293e-01,9.061185124883953890e+00,8.085972982195510639e-02
1.757575757575757791e-01,9.182659263646456793e+00,1.073028776269987494e-01
1.787878787878788012e-01,9.789082481028977156e+00,1.394734612013068809e-01
1.818181818181818232e-01,9.764720984072994270e+00,1.776452769615850524e-01
1.848484848484848730e-01,9.868851688169714365e+00,2.218190811788076644e-01
1.878787878787878951e-01,9.955462298774426344e+00,2.716759381218097902e-01
1.909090909090909172e-01,1.105771583324954932e+01,3.265570762318665832e-01
1.939393939393939670e-01,9.604635838654079549e+00,3.854766295196460080e-01
1.969696969696969890e-01,9.616896786799502550e+00,4.471693482668838149e-01
2.000000000000000111e-01,9.511736363051273457e+00,5.101702120927047446e-01
2.030303030303030609e-01,1.044534522930287324e+01,5.729178281389561977e-01
2.060606060606060830e-01,1.082889852714768786e+01,6.338695653266632757e-01
2.090909090909091050e-01,1.015890425267980213e+01,6.916143910853210786e-01
2.121212121212121549e-01,9.798936416852788156e+00,7.449697676200832674e-01
2.151515151515151769e-01,9.884099149373135162e+00,7.930516459493360815e-01
2.181818181818181990e-01,1.084490112724027533e+01,8.353109925022277338e-01
2.212121212121212488e-01,1.097625553302509616e+01,8.715354790537250818e-01
2.242424242424242709e-01,1.093195316704372289e+01,9.018199366463466315e-01
2.272727272727272929e-01,1.028251235744496661e+01,9.265130273007171624e-01
2.303030303030303150e-01,1.089687255141578959e+01,9.461497578239815853e-01
2.333333333333333648e-01,1.090334481881777151e+01,9.613797954103322496e-01
2.363636363636363869e-01,1.104030406712831791e+01,9.729002819521773704e-01
2.393939393939394089e-01,1.150770575161739906e+01,9.813994947285177295e-01
2.424242424242424587e-01,1.119476338987087161e+01,9.875148909525565122e-01
2.454545454545454808e-01,1.154371177420677341e+01,9.918063848473080979e-01
2.484848484848485028e-01,1.125266865381454728e+01,9.947435635917113439e-01
2.515151515151515804e-01,1.146135042709278018e+01,9.967041690725603198e-01
2.545454545454545747e-01,1.174240929913948683e+01,9.979805725637178604e-01
2.575757575757575690e-01,1.056510044748053900e+01,9.987910177846351933e-01
2.606060606060606188e-01,1.132334878533713507e+01,9.992928947156941577e-01
2.636363636363636687e-01,1.130868549833341419e+01,9.995960105756914738e-01
2.666666666666667185e-01,1.128333995772066345e+01,9.997745597797298434e-01
2.696969696969697683e-01,1.157733889168823360e+01,9.998771355950555328e-01
2.727272727272727626e-01,1.271514660492245774e+01,9.999346093811598557e-01
2.757575757575757569e-01,1.137444072452344912e+01,9.999660168093512658e-01
2.787878787878788067e-01,1.255066398245185866e+01,9.999827559303471336e-01
2.818181818181818565e-01,1.103573268248506345e+01,9.999914569588624902e-01
2.848484848484849064e-01,1.192028110322065793e+01,9.999958680514086096e-01
2.878787878787879007e-01,1.229462153603270025e+01,9.999980490698814339e-01
